ID_REF,GSM4075768,GSM4075770,GSM4075772,GSM4075774,GSM4075776,GSM4075777,GSM4075780,GSM4075782,GSM4075784,GSM4075786,GSM4075788,GSM4075790,GSM4075792,GSM4075794,GSM4075796,GSM4075798,GSM4075801,GSM4075803,GSM4075804,GSM4075805,GSM4075807,GSM4075809,GSM4075811,GSM4075813,GSM4075814,GSM4075815,GSM4075816,GSM4075817,GSM4075818,GSM4075819,GSM4075820,GSM4075821,GSM4075822,GSM4075823,GSM4075824
ILMN_1343291,13.65114894,13.12986347,13.61895285,13.81744876,13.23988993,13.61895285,14.22270848,13.9553929,13.50095295,14.58503199,13.54045642,12.7827354,12.98671551,8.543261697,13.72637625,14.15393079,13.39236754,13.84542763,14.15681446,14.45928242,13.36520444,13.46037234,12.63996495,14.1094072,13.92939372,13.05210663,13.13226881,13.41417919,13.0669394,13.05210663,13.0669394,13.26670547,13.28000719,13.17682081,12.69967294
ILMN_1343295,11.82674646,12.84164146,12.26287799,12.59632057,12.44061523,12.71478931,11.77660376,12.44205254,12.10501806,11.61487434,11.55665885,11.97459246,12.39879734,9.118055935,10.6405928,11.02114757,12.72065537,13.15333921,12.57596303,12.59538771,13.21905271,11.19672151,11.34275787,10.35205987,9.524101276,10.30751629,10.35491893,9.977298429,10.36892869,10.14573898,10.39101896,10.7991891,10.13273239,10.4751344,10.372695
ILMN_1651199,4.29644019,5.085740447,4.99103317,4.987668897,5.11035855,4.993354078,4.483731633,4.323387704,4.338066778,4.31730366,4.269082725,4.98115124,4.467101614,4.443813251,4.37315174,4.2435759,4.809398636,4.207919751,4.346588345,4.283367,4.369602926,4.487290329,4.254847783,4.332760015,4.290459003,4.339310678,4.266432991,4.237426308,4.158342629,4.332521859,4.191158256,4.143352537,4.239004359,4.202280959,4.28465444
ILMN_1651209,5.049730118,5.173701316,5.169504317,5.202154043,5.288597844,5.077974898,4.633210049,4.850219534,4.652254786,4.35746717,4.387379398,4.382934174,4.345017332,4.384748337,4.522362775,4.521052717,5.146937683,4.306902029,4.762548695,4.401772343,5.033573309,4.309508057,4.488411139,4.502020933,4.362501367,4.490058827,4.378384808,4.670825926,4.240598413,4.310596544,4.725036408,4.394799953,4.472154472,4.376088903,4.88745069
ILMN_1651210,4.424468035,5.161688422,5.001448906,5.068352439,5.241905676,5.092462091,4.8887087,4.4828849,4.521696672,4.433113133,4.275124058,4.353860736,4.385696374,5.634102921,4.42983056,4.30466143,4.529836493,4.515225121,4.24108828,4.433420401,4.487767152,4.342438577,4.177657167,4.361191049,4.175033107,4.260964993,4.192450467,4.198770849,4.138685728,4.223095135,4.623545526,4.144124994,4.324571003,4.196960275,4.343763854
ILMN_1651221,4.601336959,5.031470769,5.208207652,5.314718995,5.244605692,5.11539609,5.319246016,4.48753195,4.428013081,4.43973688,4.353941098,4.224682188,4.303434343,4.495901246,4.347739262,4.37050608,4.598080694,4.464159526,4.485441779,4.337451146,4.433581329,4.383071377,4.293503571,4.265073249,4.528188576,4.644802421,4.481137545,4.271577841,4.246663354,4.256886436,4.30860997,4.343428262,4.218462985,4.465187879,4.503881786
ILMN_1651228,9.583562289,10.4130828,11.27959888,11.0995165,11.44696175,10.4746663,8.872269749,9.830632751,8.699406809,10.10218669,9.423399256,8.806632368,8.833877449,11.99588468,9.637532711,9.69379119,8.659472724,9.903088071,9.807754968,10.61578234,9.26396379,9.009403005,8.057715168,8.827438226,9.623345832,9.713337361,8.978051542,9.691913292,9.438198641,8.903605458,9.482774774,9.087900472,9.000497679,9.591902308,9.434586185
ILMN_1651229,5.75648702,6.279938681,6.330116567,6.357139954,6.691169215,5.824163661,5.395427833,5.846266333,5.884109913,5.611183057,5.702142898,6.128823987,5.895862396,8.007469084,5.730164252,5.772874975,6.101604869,6.205201756,6.502441487,6.655018858,6.872294962,5.705698779,5.537129967,5.09037632,5.174206181,5.574350449,5.704427427,5.40992417,5.405439928,5.18504555,5.764223467,5.444429473,5.403065709,5.361627241,5.873753099
ILMN_1651230,4.292274567,5.089547602,5.100550664,5.097867019,5.024243656,5.098335223,4.253513951,4.329286339,4.35943255,4.552508016,4.515836588,4.349175044,4.28405413,4.955105273,4.243273422,4.298178723,4.378536061,4.305467358,4.341913997,4.525726905,4.309648162,4.28171606,4.383542946,4.185563373,4.175743165,4.536802248,4.224778282,4.194180493,4.160581847,4.29954776,4.200853639,4.127207058,4.128975824,4.172657672,4.163145195
ILMN_1651232,4.533958567,5.075399241,5.094470348,5.212886481,5.146937592,5.078097811,5.069283278,4.682819597,4.592364351,5.159701645,4.486214015,4.532242395,4.397052967,4.722301961,4.432438808,4.345282729,4.283179216,4.381508278,4.350433926,4.419235722,4.415466681,4.271421775,4.315967417,4.293608366,4.251830908,4.143045234,4.231420488,4.21691578,4.269792873,4.40850861,4.401496652,4.260634486,4.270278863,4.275395728,4.289186825
