probe_id,gene_symbol,entrez_gene_id
ILMN_1343048,phage_lambda_genome,
ILMN_1343049,phage_lambda_genome,
ILMN_1343050,phage_lambda_genome:low,
ILMN_1343052,phage_lambda_genome:low,
ILMN_1343059,thrB,
ILMN_1343061,phage_lambda_genome:mm2,
ILMN_1343062,phage_lambda_genome:mm2,
ILMN_1343063,phage_lambda_genome:mm2,
ILMN_1343064,phage_lambda_genome:mm2,
ILMN_1343291,EEF1A1,1915
ILMN_1343295,GAPDH,2597
ILMN_1343296,permuted_negative,
ILMN_1343297,permuted_negative,
ILMN_1343298,permuted_negative,
ILMN_1343299,permuted_negative,
ILMN_1343300,permuted_negative,
ILMN_1343301,permuted_negative,
ILMN_1343302,permuted_negative,
ILMN_1343303,permuted_negative,
ILMN_1343304,permuted_negative,
ILMN_1343305,permuted_negative,
ILMN_1343306,permuted_negative,
ILMN_1343307,permuted_negative,
ILMN_1343308,permuted_negative,
ILMN_1343309,permuted_negative,
ILMN_1343310,permuted_negative,
ILMN_1343311,permuted_negative,
ILMN_1343312,permuted_negative,
ILMN_1343313,permuted_negative,
ILMN_1343314,permuted_negative,
ILMN_1343315,permuted_negative,
ILMN_1343316,permuted_negative,
ILMN_1343317,permuted_negative,
ILMN_1343318,permuted_negative,
ILMN_1343319,permuted_negative,
ILMN_1343320,permuted_negative,
ILMN_1343321,permuted_negative,
ILMN_1343322,permuted_negative,
ILMN_1343323,permuted_negative,
ILMN_1343324,permuted_negative,
ILMN_1343325,permuted_negative,
ILMN_1343326,permuted_negative,
ILMN_1343327,permuted_negative,
ILMN_1343328,permuted_negative,
ILMN_1343329,permuted_negative,
ILMN_1343330,permuted_negative,
ILMN_1343331,permuted_negative,
ILMN_1343332,permuted_negative,
ILMN_1343333,permuted_negative,
ILMN_1343334,permuted_negative,
ILMN_1343335,permuted_negative,
ILMN_1343336,permuted_negative,
ILMN_1343337,permuted_negative,
ILMN_1343338,permuted_negative,
ILMN_1343339,permuted_negative,
ILMN_1343340,permuted_negative,
ILMN_1343341,permuted_negative,
ILMN_1343342,permuted_negative,
ILMN_1343343,permuted_negative,
ILMN_1343344,permuted_negative,
ILMN_1343345,permuted_negative,
ILMN_1343346,permuted_negative,
ILMN_1343347,permuted_negative,
ILMN_1343348,permuted_negative,
ILMN_1343349,permuted_negative,
ILMN_1343350,permuted_negative,
ILMN_1343351,permuted_negative,
ILMN_1343352,permuted_negative,
ILMN_1343353,permuted_negative,
ILMN_1343354,permuted_negative,
ILMN_1343355,permuted_negative,
ILMN_1343356,permuted_negative,
ILMN_1343357,permuted_negative,
ILMN_1343358,permuted_negative,
ILMN_1343359,permuted_negative,
ILMN_1343360,permuted_negative,
ILMN_1343361,permuted_negative,
ILMN_1343362,permuted_negative,
ILMN_1343363,permuted_negative,
ILMN_1343364,permuted_negative,
ILMN_1343365,permuted_negative,
ILMN_1343366,permuted_negative,
ILMN_1343367,permuted_negative,
ILMN_1343368,permuted_negative,
ILMN_1343369,permuted_negative,
ILMN_1343370,permuted_negative,
ILMN_1343371,permuted_negative,
ILMN_1343372,permuted_negative,
ILMN_1343373,permuted_negative,
ILMN_1343374,permuted_negative,
ILMN_1343375,permuted_negative,
ILMN_1343376,permuted_negative,
ILMN_1343377,permuted_negative,
ILMN_1343378,permuted_negative,
ILMN_1343379,permuted_negative,
ILMN_1343380,permuted_negative,
ILMN_1343381,permuted_negative,
ILMN_1343382,permuted_negative,
ILMN_1343383,permuted_negative,
ILMN_1343384,permuted_negative,
ILMN_1343385,permuted_negative,
ILMN_1343386,permuted_negative,
ILMN_1343387,permuted_negative,
ILMN_1343388,permuted_negative,
ILMN_1343389,permuted_negative,
ILMN_1343390,permuted_negative,
ILMN_1343391,permuted_negative,
ILMN_1343392,permuted_negative,
ILMN_1343393,permuted_negative,
ILMN_1343394,permuted_negative,
ILMN_1343395,permuted_negative,
ILMN_1343396,permuted_negative,
ILMN_1343397,permuted_negative,
ILMN_1343398,permuted_negative,
ILMN_1343399,permuted_negative,
ILMN_1343400,permuted_negative,
ILMN_1343401,permuted_negative,
ILMN_1343402,permuted_negative,
ILMN_1343403,permuted_negative,
ILMN_1343404,permuted_negative,
ILMN_1343406,permuted_negative,
ILMN_1343407,permuted_negative,
ILMN_1343408,permuted_negative,
ILMN_1343409,permuted_negative,
ILMN_1343410,permuted_negative,
ILMN_1343411,permuted_negative,
ILMN_1343412,permuted_negative,
ILMN_1343413,permuted_negative,
ILMN_1343414,permuted_negative,
ILMN_1343415,permuted_negative,
ILMN_1343416,permuted_negative,
ILMN_1343417,permuted_negative,
ILMN_1343418,permuted_negative,
ILMN_1343419,permuted_negative,
ILMN_1343420,permuted_negative,
ILMN_1343421,permuted_negative,
ILMN_1343422,permuted_negative,
ILMN_1343423,permuted_negative,
ILMN_1343424,permuted_negative,
ILMN_1343425,permuted_negative,
ILMN_1343426,permuted_negative,
ILMN_1343427,permuted_negative,
ILMN_1343428,permuted_negative,
ILMN_1343429,permuted_negative,
ILMN_1343430,permuted_negative,
ILMN_1343431,permuted_negative,
ILMN_1343432,permuted_negative,
ILMN_1343433,permuted_negative,
ILMN_1343434,permuted_negative,
ILMN_1343435,permuted_negative,
ILMN_1343436,permuted_negative,
ILMN_1343437,permuted_negative,
ILMN_1343438,permuted_negative,
ILMN_1343439,permuted_negative,
ILMN_1343440,permuted_negative,
ILMN_1343441,permuted_negative,
ILMN_1343442,permuted_negative,
ILMN_1343443,permuted_negative,
ILMN_1343444,permuted_negative,
ILMN_1343445,permuted_negative,
ILMN_1343446,permuted_negative,
ILMN_1343447,permuted_negative,
ILMN_1343448,permuted_negative,
ILMN_1343449,permuted_negative,
ILMN_1343450,permuted_negative,
ILMN_1343451,permuted_negative,
ILMN_1343452,permuted_negative,
ILMN_1343453,permuted_negative,
ILMN_1343454,permuted_negative,
ILMN_1343455,permuted_negative,
ILMN_1343456,permuted_negative,
ILMN_1343457,permuted_negative,
ILMN_1343458,permuted_negative,
ILMN_1343459,permuted_negative,
ILMN_1343460,permuted_negative,
ILMN_1343461,permuted_negative,
ILMN_1343462,permuted_negative,
ILMN_1343463,permuted_negative,
ILMN_1343464,permuted_negative,
ILMN_1343465,permuted_negative,
ILMN_1343466,permuted_negative,
ILMN_1343467,permuted_negative,
ILMN_1343468,permuted_negative,
ILMN_1343469,permuted_negative,
ILMN_1343470,permuted_negative,
ILMN_1343471,permuted_negative,
