probe_id,gene_symbol,entrez_gene_id,sepsis_mean,healthy_mean,mean_difference,p_value,fdr
ILMN_1699570,TPD52L2,7165.0,10.624189511173912,7.951041495416665,2.6731480157572465,2.3286777831662164e-18,1.0484405983149256e-13
ILMN_2311779,TMUB2,79089.0,9.201668337695653,6.7618815149166664,2.439786822778986,3.1390706927853655e-17,7.066518990063776e-13
ILMN_1713636,S100A6,6277.0,12.341614159130435,9.55294194675,2.788672212380435,4.676675701798372e-17,7.018599004068936e-13
ILMN_1766054,ABCA1,19.0,10.326754795739133,6.446009885166667,3.8807449105724654,6.122324932636452e-17,6.891135886052275e-13
ILMN_2071937,ATP6V0E1,8992.0,12.117997543913047,10.152723089833334,1.9652744540797134,8.524372615341098e-17,7.675856565210045e-13
ILMN_1693287,POMP,51371.0,10.004613054565217,7.9843037712500005,2.0203092833152168,1.2553457112814737e-16,9.419904993170966e-13
ILMN_2266595,LILRA5,353514.0,11.67793192626087,8.378900758999999,3.299031167260871,1.6080927689882927e-16,1.0343022962594271e-12
ILMN_2320513,APBB3,10307.0,7.684446788217393,5.699351627833333,1.98509516038406,2.3119942167293973e-16,1.3011614452475957e-12
ILMN_2309180,SMARCD3,6604.0,8.585527118695653,5.301033807999999,3.2844933106956544,2.342027841472908e-16,1.171612438962608e-12
ILMN_2227573,GSTO1,9446.0,11.217695124782608,9.050088519666664,2.167606605115944,2.7133632341315177e-16,1.2216375289030332e-12
ILMN_2151817,PFN1,5216.0,13.392439158695652,11.690978725833332,1.7014604328623193,2.8901714831656193e-16,1.182947188059688e-12
ILMN_1697694,ATP6AP1,537.0,10.971240653956523,8.811802986750001,2.1594376672065216,3.4140139287068543e-16,1.2809095759347391e-12
ILMN_1681679,TSPO,706.0,12.977500397391305,10.446933717166667,2.530566680224638,6.011762604888103e-16,2.08205836738367e-12
ILMN_1744517,GNS,2799.0,11.856511438260869,9.380602468166668,2.475908970094201,7.414441508314495e-16,2.3844314287774533e-12
ILMN_1667748,ANKRD33,341405.0,8.080411319130436,5.2072274206666656,2.87318389846377,1.0292870397416026e-15,3.089439359352412e-12
ILMN_1762713,C19orf59,199675.0,11.919343516565215,6.8983444125833335,5.0209991039818815,1.1173259465076216e-15,3.14408538060079e-12
ILMN_3240247,NOP10,55505.0,11.829618402173915,9.683969519249999,2.1456488829239166,1.161023136062919e-15,3.074867332644753e-12
ILMN_1662741,EDG4,9170.0,10.444119408608696,8.391051879583333,2.0530675290253626,1.2837585688066641e-15,3.211036780187913e-12
ILMN_2329679,TPST2,8459.0,10.59973869773913,8.208594871916667,2.391143825822464,1.294251324446666e-15,3.066898809503276e-12
ILMN_3248975,PPP4C,5531.0,9.558219671130434,7.571932265916666,1.9862874052137682,1.632071477278515e-15,3.674037706075529e-12
ILMN_2164242,UBE2F,140739.0,9.216995154565216,6.87268647375,2.3443086808152165,1.923487450069442e-15,4.123865498308404e-12
ILMN_1788961,PPP2R2A,5520.0,8.765847121391303,6.891791335083333,1.87405578630797,2.1642140234535413e-15,4.429063998997672e-12
ILMN_1668629,LOC401115,401115.0,10.36875189552174,7.8299237005833335,2.5388281949384064,2.173447597379465e-15,4.254570920731116e-12
ILMN_1841334,,,8.902461006,6.937440411583332,1.965020594416667,2.5696256302786362e-15,4.820510614668126e-12
ILMN_3239055,TMEM208,29100.0,7.310076817086958,5.105598000666666,2.2044788164202913,2.5929856884563313e-15,4.6697597860547765e-12
ILMN_1758412,COPS7A,50813.0,8.661946309478262,7.070315489749999,1.5916308197282634,2.7915377561541433e-15,4.8339770921279995e-12
ILMN_1809013,MYL6,4637.0,13.427776567391307,11.119304625833335,2.308471941557972,3.1317740792141005e-15,5.222291272905795e-12
ILMN_2058070,NEDD8,4738.0,11.597124860434784,9.925126408333334,1.67199845210145,3.1681822737854083e-15,5.094323946880016e-12
ILMN_1655952,FAM39E,375690.0,10.900304538173913,9.295473361416667,1.604831176757246,3.997859813349349e-15,6.2067462888423355e-12
ILMN_1722102,ANAPC11,51529.0,8.457885692608697,6.509583370833334,1.9483023217753628,4.135289425064812e-15,6.2061045261564354e-12
ILMN_1659240,MTMR14,64419.0,9.449426862130435,7.804974817999999,1.6444520441304364,4.3571573055042806e-15,6.328138495668362e-12
ILMN_1653828,CHFR,55743.0,9.523470830913045,7.8502546857499995,1.6732161451630452,5.2020290840806315e-15,7.319092357892571e-12
ILMN_1695157,CA4,762.0,9.932847006565218,6.299582188749999,3.6332648178152196,5.497788469414409e-15,7.500816068437724e-12
ILMN_1769091,PRCP,5547.0,11.151613591652172,9.20771029575,1.9439032959021727,5.514148585493545e-15,7.301867993078701e-12
ILMN_2201533,C17orf61,254863.0,9.322802544913044,7.049044151249999,2.273758393663045,6.049426193546578e-15,7.781809014629932e-12
ILMN_1682864,SPSB3,90864.0,10.041004217086954,8.10710364325,1.9339005738369544,6.450559820691805e-15,8.067320966861308e-12
ILMN_1815479,NOP10,55505.0,11.700420429130432,9.4665050515,2.2339153776304315,6.535541010179749e-15,7.952693591927644e-12
ILMN_2398432,BRMS1,25855.0,9.709794095782609,7.895629564416667,1.8141645313659422,6.6138128457183166e-15,7.836149888230942e-12
ILMN_1748651,PSMB3,5691.0,11.458185790869564,9.583200563666667,1.874985227202897,7.632738405752829e-15,8.811507211338707e-12
ILMN_1676955,TYK2,7297.0,10.791419091956524,9.071856130333334,1.7195629616231898,8.498794441287774e-15,9.566030553252487e-12
ILMN_1798256,UPP1,7378.0,11.164956032347822,7.966044587916667,3.1989114444311557,9.499609121203497e-15,1.0431729303998659e-11
ILMN_1794875,AGPAT9,84803.0,9.228879283130436,6.4218588563333325,2.807020426797103,1.017519536857097e-14,1.0907567168551684e-11
ILMN_3307700,SPCS3,60559.0,7.876842359391304,5.1275766215,2.749265737891304,1.0744109072952394e-14,1.124958192538455e-11
ILMN_1670609,ATOX1,475.0,8.867117653869567,6.760389859250001,2.106727794619566,1.3313944755957975e-14,1.3623493971533999e-11
ILMN_1801101,ZBTB48,3104.0,8.403663398956521,6.600422782166667,1.8032406167898545,1.3362295605583932e-14,1.3369125223337898e-11
ILMN_1664956,SSU72,29101.0,10.48302537947826,8.718284616166665,1.764740763311595,1.3738742334625987e-14,1.3446943394170996e-11
ILMN_1661695,IRAK3,11213.0,9.43056211069565,5.817886109333333,3.612676001362317,1.4096235165108479e-14,1.3503293528482533e-11
ILMN_1681301,AIM2,9447.0,9.534667795478263,6.202103913916667,3.3325638815615966,1.5134078160024324e-14,1.4195450020807816e-11
ILMN_2326071,MYL6,4637.0,13.462976061304348,11.24643854,2.216537521304348,1.5138237928920976e-14,1.3909569107628758e-11
ILMN_1801633,C20orf52,140823.0,10.160788533913044,8.026008904916667,2.1347796289963767,1.581159437838691e-14,1.4237708273962276e-11
ILMN_1656413,ZMPSTE24,10269.0,9.366542698608695,7.070329525666668,2.2962131729420276,1.659329894276667e-14,1.4648629378434975e-11
ILMN_1803194,GALK1,2584.0,9.77816515773913,7.521676906666666,2.2564882510724633,1.6839337623202277e-14,1.4579951880950694e-11
ILMN_1798804,SRPK1,6732.0,9.52147857995652,6.825642962,2.6958356179565204,1.6850361647811616e-14,1.4314223254140044e-11
ILMN_1759991,MGC3731,79159.0,9.44857498726087,7.682734706166666,1.7658402810942029,1.7162603064746116e-14,1.4309479218223416e-11
ILMN_2121207,FAM125A,93343.0,7.6908967931739145,5.7831231401666665,1.907773653007248,1.8780248043876932e-14,1.5373511048717657e-11
ILMN_1713978,SDF2,6388.0,9.284616239434781,7.11470114875,2.169915090684781,1.9004555221467166e-14,1.5279323031002075e-11
ILMN_3234993,ROMO1,140823.0,9.977552210565218,7.956398794916666,2.021153415648552,1.9019088110223124e-14,1.5022743929589046e-11
ILMN_1654518,LRCH4,4034.0,9.85811421647826,7.764328749416666,2.0937854670615934,1.9667524239029134e-14,1.5267085238169115e-11
ILMN_1764788,TNFRSF1B,7133.0,11.473151523913044,9.785410643583333,1.6877408803297111,2.1471141837540636e-14,1.6384664727993085e-11
ILMN_1716524,RAB7A,7879.0,11.44756253695652,9.636188904583332,1.8113736323731882,2.2440416879335805e-14,1.6838914819305598e-11
ILMN_1679641,FAM120B,84498.0,8.923504962913045,7.226395668583333,1.697109294329712,2.3809442212869888e-14,1.7573319946721983e-11
ILMN_1806408,ACADVL,37.0,10.250505271608697,8.866048686333334,1.3844565852753625,2.414824978833715e-14,1.75359137132307e-11
ILMN_1658883,ARAF,369.0,8.237763203913044,6.295024822750001,1.9427383811630428,2.4293776136172054e-14,1.7361566396490067e-11
ILMN_1811102,LRSAM1,90678.0,7.716162468347827,5.704705569083334,2.011456899264493,2.463034623082132e-14,1.7327063724222942e-11
ILMN_1662232,DCTN2,10540.0,9.85455803273913,8.364168216666668,1.4903898160724616,2.6395932654533607e-14,1.828344732161641e-11
ILMN_2388142,CD99L2,83692.0,8.261800100652174,6.2311290032499995,2.030671097402174,2.759343929537454e-14,1.8823324505994664e-11
ILMN_2387599,C20orf24,55969.0,12.152418149565216,10.07239326875,2.080024880815216,3.012662610443963e-14,2.0244643091047545e-11
ILMN_2339779,ATP6V1E1,529.0,10.680405727043476,8.912697654083333,1.7677080729601435,3.052436281940286e-14,2.0210270400264337e-11
ILMN_1666409,PSMB6,5694.0,10.563847666347826,8.782873102833333,1.7809745635144925,3.214793702142779e-14,2.0976761862547007e-11
ILMN_3287244,LOC728138,728138.0,9.17595063273913,6.8897660544166675,2.2861845783224632,3.231764940550937e-14,2.078625041691783e-11
ILMN_2340065,UBL5,59286.0,9.944170100434782,7.661644004916666,2.282526095518116,4.198503515271522e-14,2.662383433353095e-11
ILMN_1730734,TMEM205,374882.0,9.459147760565218,7.318121673333333,2.141026087231885,4.292578435009072e-14,2.684232762214076e-11
ILMN_1657810,PPM1M,132160.0,10.712187600304349,8.753890372250002,1.958297228054347,4.366606722907638e-14,2.6931196504858982e-11
ILMN_1755843,SLC26A8,116369.0,8.289400833347825,5.34463346775,2.9447673655978255,4.991505844955338e-14,3.036926589965192e-11
ILMN_1800197,MRPL36,64979.0,8.147198852565218,5.966481667583333,2.1807171849818845,5.6495756056715066e-14,3.3914778999219764e-11
ILMN_3253304,BRI3P1,730010.0,9.247231543043478,6.5357952756666675,2.7114362673768104,5.704410168216091e-14,3.3793376184683295e-11
ILMN_1714759,CNIH4,29097.0,9.242928640086955,6.265057451666666,2.9778711884202886,6.34712690330725e-14,3.711255773605225e-11
ILMN_1678729,SIL1,64374.0,7.744100942565218,5.4209094064166665,2.323191536148552,6.539057150180258e-14,3.774461154776484e-11
ILMN_2052163,YIPF1,54432.0,9.683832642,7.812841834916667,1.8709908070833334,7.100239920947768e-14,4.0465076197573587e-11
ILMN_1730454,FOLR3,2352.0,11.065046887130435,7.0887720035,3.9762748836304356,7.449819802504335e-14,4.1926654621019085e-11
ILMN_1801852,SEC61B,10952.0,10.004765958652174,8.339197448833334,1.66556850981884,7.72211788167437e-14,4.292258189958336e-11
ILMN_1725071,CCDC12,151903.0,8.603510574086956,7.026649992416666,1.5768605816702896,8.549087741361245e-14,4.693970455845211e-11
ILMN_1800425,SLC9A1,6548.0,8.963522934478263,6.699101778500001,2.264421155978262,8.862657352311453e-14,4.807511108109862e-11
ILMN_1790472,SLC25A28,81894.0,9.655168771869565,7.967991587666667,1.6871771842028984,9.722563234172433e-14,5.211178148716017e-11
ILMN_1655340,RNF181,51255.0,9.63309694430435,7.812882350416667,1.820214593887683,9.76153600395692e-14,5.170513358895911e-11
ILMN_1736939,UGCG,7357.0,8.806729672869565,5.800133894999999,3.006595777869566,9.773952645960747e-14,5.116891511384776e-11
